Team ID, Name, Goal Difference, Average Shot, Average Goal, Average fouls commited, Average successful defense, played Game, point,
9,Liverpool,45,6.068965517241379,2.28,8.34,2.17,29,134.90173,
10,Man City,37,6.75,2.43,10.11,2.11,28,109.04714,
8,Leicester,30,5.275862068965517,2.0,10.62,2.83,29,89.452415,
11,Man United,14,5.724137931034483,1.52,11.03,2.48,29,58.835175,
5,Chelsea,12,5.827586206896552,1.76,10.03,1.69,29,53.87138,
16,Tottenham,7,4.482758620689655,1.62,10.21,3.69,29,52.04,
19,Wolves,7,3.9655172413793105,1.41,10.9,2.59,29,50.55931,
0,Arsenal,4,3.892857142857143,1.43,11.0,3.71,28,49.385715,
14,Sheffield United,5,3.3214285714285716,1.07,10.82,2.54,28,40.737144,
4,Burnley,-6,3.586206896551724,1.17,11.14,3.0,29,25.86931,
6,Crystal Palace,-6,3.2413793103448274,0.9,10.93,3.45,29,24.992758,
7,Everton,-9,4.655172413793103,1.28,11.93,2.55,29,20.036207,
12,Newcastle,-16,3.2758620689655173,0.86,9.52,4.14,29,13.498965,
3,Brighton,-8,4.137931034482759,1.1,9.93,3.1,29,12.573103,
15,Southampton,-17,4.517241379310345,1.21,12.24,3.03,29,9.569655,
18,West Ham,-15,4.413793103448276,1.21,10.34,3.52,29,9.462414,
17,Watford,-17,3.1379310344827585,0.93,12.17,3.1,29,0.6765518,
2,Bournemouth,-18,3.3448275862068964,1.0,9.28,3.62,29,-0.30724096,
1,Aston Villa,-22,4.142857142857143,1.21,11.68,3.61,28,-2.1114283,
13,Norwich,-27,3.9655172413793105,0.86,9.62,3.55,29,-16.621378,
