Team ID, Name, Goal Difference, Average Shot, Average Goal, Average Fouls commited, Average Successful Defense, Played Game, Point, ELO Point,
9,Liverpool,45,6.068965517241379,2.28,8.34,2.17,29,82.0,126.58622,
10,Man City,37,6.75,2.43,10.11,2.11,28,57.0,78.14286,
8,Leicester,30,5.275862068965517,2.0,10.62,2.83,29,53.0,67.24138,
5,Chelsea,12,5.827586206896552,1.76,10.03,1.69,29,48.0,55.999992,
11,Man United,14,5.724137931034483,1.52,11.03,2.48,29,45.0,54.344826,
19,Wolves,7,3.9655172413793105,1.41,10.9,2.59,29,43.0,54.24138,
14,Sheffield United,5,3.3214285714285716,1.07,10.82,2.54,28,43.0,53.500004,
0,Arsenal,4,3.892857142857143,1.43,11.0,3.71,28,40.0,49.714283,
16,Tottenham,7,4.482758620689655,1.62,10.21,3.69,29,41.0,43.310337,
6,Crystal Palace,-6,3.2413793103448274,0.9,10.93,3.45,29,39.0,38.034485,
4,Burnley,-6,3.586206896551724,1.17,11.14,3.0,29,39.0,35.793106,
7,Everton,-9,4.655172413793103,1.28,11.93,2.55,29,37.0,32.448273,
12,Newcastle,-16,3.2758620689655173,0.86,9.52,4.14,29,35.0,29.517242,
15,Southampton,-17,4.517241379310345,1.21,12.24,3.03,29,34.0,23.793102,
3,Brighton,-8,4.137931034482759,1.1,9.93,3.1,29,29.0,17.931034,
17,Watford,-17,3.1379310344827585,0.93,12.17,3.1,29,27.0,12.965519,
18,West Ham,-15,4.413793103448276,1.21,10.34,3.52,29,27.0,10.551727,
2,Bournemouth,-18,3.3448275862068964,1.0,9.28,3.62,29,27.0,8.482759,
1,Aston Villa,-22,4.142857142857143,1.21,11.68,3.61,28,25.0,3.3928578,
13,Norwich,-27,3.9655172413793105,0.86,9.62,3.55,29,21.0,-3.3103445,
